time_step,lvl1_mean,lvl1_plus_std,lvl1_minus_std,lvl2_mean,lvl2_plus_std,lvl2_minus_std,lvl3_mean,lvl3_plus_std,lvl3_minus_std,lvl4_mean,lvl4_plus_std,lvl4_minus_std,lvl5_mean,lvl5_plus_std,lvl5_minus_std
0,0.292929292929293,0.886302996502642,0,0.393939393939394,0.905403515173555,0,-0.807291666666667,-0.37393274340561,-1,-0.959276018099548,-0.719641028974079,-1.19891100722502,-0.959677419354839,-0.713985913302183,-1.20536892540749
5000,0.336787564766839,0.900946268659541,0,0.526041666666667,1.11329631262292,0,-0.697297297297297,-0.1315704408158,-1,-0.943478260869565,-0.685573029323475,-1.20138349241566,-0.956,-0.655693080897424,-1.25630691910258
10000,0.321243523316062,0.86170484995827,0,0.479166666666667,1.03925578946761,0,-0.731506849315069,-0.202960035724962,-1,-0.908878504672897,-0.612743124837484,-1.20501388450831,-0.966836734693878,-0.737623646112393,-1.19604982327536
15000,0.324742268041237,0.865999857170155,0,0.53125,1.10926112328289,0,-0.612068965517241,0.0423976438529258,-1,-0.914141414141414,-0.591647932386825,-1.236634895896,-0.924393723252497,-0.55991196330836,-1.28887548319663
20000,0.357512953367876,0.918072598469762,0,0.619791666666667,1.27199209705303,0,-0.620178041543027,0.0284991594313949,-1,-0.903614457831325,-0.577072858313612,-1.23015605734904,-0.914285714285714,-0.51830765546972,-1.31026377310171
25000,0.352331606217617,0.882865195601545,0,0.713541666666667,1.28897590591545,0.138107427417884,-0.6,0.0410477745379994,-1,-0.875968992248062,-0.538167077287453,-1.21377090720867,-0.916666666666667,-0.557421364655629,-1.2759119686777
30000,0.450777202072539,1.04494321168395,0,0.740932642487047,1.40647844029588,0.0753868446782093,-0.629943502824859,0.0230569784361218,-1,-0.873737373737374,-0.526280542116273,-1.22119420535847,-0.897009966777409,-0.50233952791968,-1.29168040563514
35000,0.50259067357513,1.08999627176735,0,0.804123711340206,1.41726436088058,0.190983061799828,-0.524926686217009,0.171784333223104,-1,-0.877604166666667,-0.549434164261393,-1,-0.896321070234114,-0.496212403347922,-1.29642973712031
40000,0.520618556701031,1.08930728464556,0,0.822916666666667,1.43680124518425,0.209032088149084,-0.507836990595611,0.196441058777398,-1,-0.893506493506494,-0.576317644027565,-1.21069534298542,-0.879310344827586,-0.47734684761924,-1.28127384203593
45000,0.544041450777202,1.1726793950182,0,0.848958333333333,1.49864529648348,0.199271370183187,-0.455384615384615,0.335385982609184,-1,-0.889952153110048,-0.554451528419102,-1.22545277780099,-0.835564053537285,-0.352402156465501,-1.31872595060907
50000,0.668367346938776,1.42434820937129,0,1.01036269430052,1.7025033750399,0.31822201356114,-0.416393442622951,0.349057131572279,-1,-0.914549653579677,-0.626523415454989,-1.20257589170436,-0.770161290322581,-0.187935697790319,-1.35238688285484
55000,0.873096446700508,1.71772959725637,0.0284632961446453,1.08762886597938,1.75325533577844,0.422002396180326,-0.38255033557047,0.379312660466565,-1,-0.914027149321267,-0.61011079374184,-1.21794350490069,-0.801904761904762,-0.297348999248192,-1.30646052456133
60000,0.723618090452261,1.48173575866941,0,1.12435233160622,1.94408152990845,0.304623133303984,-0.323809523809524,0.499751619782043,-1,-0.920086393088553,-0.611328244610362,-1.22884454156674,-0.719178082191781,-0.0946253285134336,-1.34373083587013
65000,0.887755102040816,1.73365202321732,0.0418581808643133,1.25773195876289,2.10060332204172,0.414860595484052,-0.329073482428115,0.508936659388889,-1,-0.924829157175399,-0.606015137060394,-1.2436431772904,-0.64720194647202,0.0114076055730314,-1.30581149851707
70000,1.08955223880597,2.10539686201735,0.0737076155945939,1.34020618556701,2.12723309503769,0.55317927609633,-0.33641975308642,0.466690005640349,-1,-0.903930131004367,-0.542275394715033,-1.2655848672937,-0.62247191011236,0.107478231494383,-1.3524220517191
75000,1.26699029126214,2.32232640459305,0.211654177931221,1.4,2.28165729602202,0.518342703977976,-0.290625,0.573084058976455,-1,-0.906318082788671,-0.579324107042202,-1.23331205853514,-0.605911330049261,0.0807262328145184,-1.29254889291304
80000,1.24137931034483,2.20910711194281,0.273651508746847,1.61224489795918,2.60071850043643,0.623771295481936,-0.373913043478261,0.405109184671531,-1,-0.929203539823009,-0.617799761350645,-1.24060731829537,-0.523929471032746,0.252982751212284,-1
85000,1.32211538461538,2.3656560623287,0.27857470690207,1.8391959798995,2.86624006478923,0.812151895009764,-0.444743935309973,0.293437267585166,-1,-0.924611973392461,-0.613925253383941,-1.23529869340098,-0.541766109785203,0.264932954656547,-1.34846517422695
90000,1.33816425120773,2.40470867223144,0.271619830184024,1.70707070707071,2.64420669666637,0.769934717475047,-0.38268156424581,0.438216054897865,-1,-0.924778761061947,-0.58704640571313,-1.26251111641076,-0.4375,0.405997629310682,-1.28099762931068
95000,1.42654028436019,2.512404816838,0.34067575188238,1.9452736318408,3.09069497342268,0.799852290258912,-0.336158192090396,0.458649987845518,-1,-0.932166301969366,-0.640103330505078,-1.22422927343365,-0.426065162907268,0.44728241148272,-1
100000,1.7085201793722,2.82766925215628,0.589371106588111,2.13,3.1340621014248,1.1259378985752,-0.327823691460055,0.513099539537662,-1,-0.873015873015873,-0.408627494978087,-1.33740425105366,-0.413965087281796,0.52582451086135,-1.35375468542494
105000,1.64150943396226,2.77429260421642,0.50872626370811,2.06435643564356,3.14370432780881,0.985008543478318,-0.272222222222222,0.561138965798785,-1,-0.936974789915966,-0.599463016405989,-1.27448656342594,-0.380145278450363,0.596918371933375,-1.3572089288341
110000,1.662100456621,2.80948566462669,0.514715248615319,2.38725490196078,3.49345521240331,1.28105459151826,-0.389027431421446,0.358153471536891,-1,-0.874213836477987,-0.438293024657885,-1.31013464829809,-0.236714975845411,0.862263123515289,-1.33569307520611
115000,1.89237668161435,2.98579894856716,0.798954414661542,2.44174757281553,3.5522319120464,1.33126323358467,-0.217270194986072,0.690567995982279,-1,-0.875776397515528,-0.442352836673228,-1.30919995835783,-0.0978260869565217,1.05113181177197,-1.24678398568501
120000,1.96888888888889,3,0.833456658764013,2.47368421052632,3.59623552672076,1.35113289433187,-0.298701298701299,0.522009379501451,-1,-0.865461847389558,-0.412468352748272,-1.31845534203084,-0.133501259445844,1.05134032444314,-1.31834284333483
125000,2.0546218487395,3,0.944085588787441,2.58095238095238,3.77327994569498,1.38862481620978,-0.146067415730337,0.800988057133715,-1,-0.887814313346228,-0.46672945066689,-1.30889917602557,0.0779944289693593,1.37239163341392,-1.21640277547521
130000,2.13191489361702,3,1.05991173972394,2.56666666666667,3.69389952082592,1.43943381250742,-0.0919220055710306,0.899615615618944,-1,-0.869047619047619,-0.411382304137851,-1.32671293395739,0.131147540983607,1.46941970245601,-1.2071246204888
135000,2.21794871794872,3,1.18650193334863,2.62559241706161,3.7749645043292,1.47622032979403,-0.0726256983240224,0.917679876341948,-1,-0.850715746421268,-0.380055568532037,-1.3213759243105,0.159574468085106,1.51645867529405,-1
140000,2.28571428571429,3,1.31663227072372,2.85581395348837,3.96762445085174,1.744003456125,0.00859598853868195,1.04107739305574,-1,-0.826693227091634,-0.333380034786239,-1.32000641939703,0.0477326968973747,1.40236796628435,-1.3069025724896
145000,2.21224489795918,3,1.1940432018903,2.97297297297297,4,1.8357026086272,0.223926380368098,1.35346457631454,-0.905611815578341,-0.842911877394636,-0.381089621064184,-1,0.255376344086022,1.69109629300712,-1.18034360483507
150000,2.43359375,3,1.47796831318378,3.17391304347826,4,2.1352636890335,0.133720930232558,1.22949712677701,-0.96205526631189,-0.814741035856574,-0.275334034749214,-1.35414803696393,0.377094972067039,1.88903825458609,-1
155000,2.38709677419355,3,1.41618645866525,3.20869565217391,4,2.15556016178515,0.140762463343109,1.24322414969823,-0.961699223012011,-0.791164658634538,-0.226830460201455,-1.35549885706762,0.410112359550562,1.90199046081417,-1
160000,2.42745098039216,3,1.48332733320907,3.38793103448276,4,2.40520973350454,0.21301775147929,1.30610735077457,-0.880071847815988,-0.824761904761905,-0.282857404784647,-1.36666640473916,0.627272727272727,2.18775989445802,-0.933214439912568
165000,2.60754716981132,3,1.81176066715847,3.25,4,2.23602833957821,0.302469135802469,1.44326624006781,-0.838327968462869,-0.758555133079848,-0.137746901204595,-1.3793633649551,0.701538461538462,2.32700062826539,-0.923923705188463
170000,2.55185185185185,3,1.69223735782428,3.46938775510204,4,2.53942122969694,0.29320987654321,1.39083616669999,-0.804416413613567,-0.709741550695825,-0.0823103963931221,-1.33717270499853,0.707692307692308,2.33806639302354,-0.922681777638926
175000,2.63829787234043,3,1.85796492264536,3.56862745098039,4,2.70704810185808,0.341463414634146,1.47444964169357,-0.791522812425277,-0.6779324055666,0.033142547618638,-1.38900735875184,0.568571428571429,2.15996508507348,-1
180000,2.77385159010601,3,2.13936262455976,3.61278195488722,4,2.78606637706342,0.558441558441558,1.75826246248732,-0.641379345604202,-0.682656826568266,0.0334336247782723,-1.3987472779148,0.766871165644172,2.32229068223171,-0.788548350943365
185000,2.75850340136054,3,2.1083426402047,3.70786516853933,4,2.98442964328794,0.353293413173653,1.54927188130456,-0.842685054957258,-0.711711711711712,-0.00349042590901016,-1.41993299751441,0.755351681957187,2.36859074981131,-0.857887385896938
190000,2.83892617449664,3,2.29376547358577,3.7158273381295,4,2.99344070077055,0.602605863192183,1.89045495326021,-0.685243226875843,-0.643115942028986,0.133929792562864,-1.42016167662083,0.671348314606742,2.27288609041762,-0.93018946120414
195000,2.86900958466454,3,2.37019884203852,3.76325088339223,4,3.11327049856195,0.536144578313253,1.84676384231287,-0.774474685686361,-0.596774193548387,0.196231806583302,-1.38978019368008,0.938650306748466,2.61084187300559,-0.733541259508655
200000,2.8476821192053,3,2.29786071212913,3.83389830508475,4,3.2779746789828,0.529595015576324,1.77454587724721,-0.715355846094561,-0.522330097087379,0.369148371354521,-1.41380856552928,1.01898734177215,2.61051857604955,-0.572543892505244
205000,2.89329268292683,3,2.45343850948835,3.86754966887417,4,3.3693736377467,0.65615141955836,2.02894366869078,-0.716640829574058,-0.467611336032389,0.511875822673644,-1.44709849473842,1.14285714285714,2.81628842802254,-0.530574142308254
210000,2.91793313069909,3,2.52444887260415,3.87581699346405,4,3.38564791674067,0.646302250803859,1.88426786550746,-0.591663363899743,-0.51171875,0.396958367955918,-1.42039586795592,1.15654952076677,2.81421341748859,-0.501114375955045
215000,2.92537313432836,3,2.54971272440012,3.96178343949045,4,3.68753511288662,0.768488745980707,2.16356209323804,-0.626584601276625,-0.374727668845316,0.618202405780985,-1.36765774347162,1.28082191780822,2.92322879585564,-0.361584960239203
220000,2.93063583815029,3,2.55633354957374,3.93788819875776,4,3.59041057682807,0.910596026490066,2.28982747109662,-0.468635418116483,-0.365384615384615,0.648986668854826,-1.37975589962406,1.61111111111111,3.32500216735249,-0.102779945130267
225000,2.95441595441595,3,2.66522666756313,3.96119402985075,4,3.6691051130915,0.806853582554517,2.20330547274621,-0.589598307637171,-0.376543209876543,0.588935777698352,-1.34202219745144,1.21019108280255,2.94143690704178,-0.521054741436688
230000,2.9475138121547,3,2.64977179052684,3.94864048338369,4,3.63662412688973,0.779179810725552,2.09430913818561,-0.535949516734502,-0.359743040685225,0.609265090273724,-1.32875117164417,1.53405017921147,3.27998741931887,-0.211887060895933
235000,2.97082228116711,3,2.74793596167414,3.98550724637681,4,3.82441056668115,0.92483660130719,2.31008824067127,-0.46041503805689,-0.295258620689655,0.744501246259942,-1.33501848763925,1.56794425087108,3.33241993232651,-0.196531430584349
240000,2.97866666666667,3,2.78637307058382,3.97214484679666,4,3.74965607695913,0.885802469135803,2.33116945774409,-0.559564519472485,-0.347916666666667,0.63513163308169,-1.33096496641502,1.55281690140845,3.29423477390176,-0.18860097108486
