time_step,lvl1_mean,lvl1_plus_std,lvl1_minus_std,lvl2_mean,lvl2_plus_std,lvl2_minus_std,lvl3_mean,lvl3_plus_std,lvl3_minus_std,lvl4_mean,lvl4_plus_std,lvl4_minus_std,lvl5_mean,lvl5_plus_std,lvl5_minus_std
0,0.365269461077844,1.05389723432392,0,0.5,1.11394061351492,0,-0.740157480314961,-0.187923942973168,-1,-0.953333333333333,-0.741702825051105,-1,-0.96640826873385,-0.704078592960112,-1.22873794450759
5000,0.288819875776398,0.841749630129139,0,0.4296875,0.957401239956222,0,-0.770428015564202,-0.305001241826311,-1,-0.947019867549669,-0.681928409121556,-1.21211132597778,-0.951219512195122,-0.618461423900148,-1.2839776004901
10000,0.342592592592593,0.933997024370361,0,0.546875,1.1468667978442,0,-0.763565891472868,-0.247001668158153,-1,-0.944625407166124,-0.701695094114366,-1.18755572021788,-0.987134502923977,-0.738347093483285,-1.23592191236467
15000,0.328173374613003,0.90520158874989,0,0.6328125,1.21969125513461,0.0459337448653926,-0.71259842519685,-0.116101122792081,-1,-0.924342105263158,-0.635610564935968,-1.21307364559035,-0.968314321926489,-0.715894917167895,-1.22073372668508
20000,0.438650306748466,1.13207659618147,0,0.609375,1.26427025519398,0,-0.788235294117647,-0.276311695139864,-1,-0.969230769230769,-0.710480760628708,-1.22798077783283,-0.991963260619977,-0.785895135448021,-1.19803138579193
25000,0.503086419753086,1.19581046691155,0,0.7421875,1.37272400134434,0.111650998655661,-0.732,-0.161493285187119,-1,-0.953703703703704,-0.702973775143064,-1.20443363226434,-0.971188475390156,-0.713357929030237,-1.22901902175008
30000,0.490853658536585,1.17257786442323,0,0.7578125,1.44224103626938,0.0733839637306225,-0.774647887323944,-0.278808431413138,-1,-0.920886075949367,-0.60706602894672,-1.23470612295201,-0.973809523809524,-0.698864931875328,-1.24875411574372
35000,0.628482972136223,1.48715802520277,0,0.7578125,1.52880320891182,0,-0.741573033707865,-0.231639604004799,-1,-0.951367781155015,-0.64284116601223,-1.2598943962978,-0.982800982800983,-0.725654148932132,-1.23994781666983
40000,0.621212121212121,1.40021373295553,0,0.734375,1.42724504383058,0.0415049561694161,-0.796153846153846,-0.31405677873113,-1,-0.949685534591195,-0.679185538652729,-1.22018553052966,-0.975961538461538,-0.722183276072562,-1.22973980085052
45000,0.693009118541033,1.53401954627112,0,0.930769230769231,1.66938790317872,0.192150558359738,-0.782758620689655,-0.279091126210777,-1,-0.963302752293578,-0.718356075815707,-1.20824942877145,-0.977358490566038,-0.732531782638583,-1.22218519849349
50000,0.821752265861027,1.68949643931483,0,1.125,1.78903680763175,0.460963192368251,-0.845901639344262,-0.410021642243795,-1,-0.976261127596439,-0.710059399238287,-1.24246285595459,-0.949152542372881,-0.623935303965435,-1.27436978078033
55000,0.863501483679525,1.82669475325286,0,1.0703125,1.7365227686444,0.4041022313556,-0.821782178217822,-0.345955126800881,-1,-0.952662721893491,-0.658089633673354,-1.24723581011363,-0.953271028037383,-0.611514621877262,-1.2950274341975
60000,0.891238670694864,1.86682643781197,0,1.36434108527132,2.16412606121919,0.564556109323446,-0.853582554517134,-0.385480068201686,-1,-0.969613259668508,-0.70822051721556,-1.23100600212146,-0.968152866242038,-0.710109251296133,-1.22619648118794
65000,1.0207100591716,2.01752253031574,0.0238975880274595,1.36434108527132,2.15429741808468,0.574384752457954,-0.837060702875399,-0.381714624830875,-1,-0.955752212389381,-0.64644738397381,-1.26505704080495,-0.967061923583663,-0.690023905537884,-1.24409994162944
70000,0.940476190476191,1.9098728697667,0,1.328125,2.13273156987342,0.523518430126584,-0.813664596273292,-0.330877142873644,-1,-0.974358974358974,-0.730759591476629,-1.21795835724132,-0.981389578163772,-0.751021674536367,-1.21175748179118
