time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
350000,0.00684931506849315,0.0893495382105622,0,0.0364723607633772,0,0.00171232876712329,0.00911809019084429,0,-0.960045662100457,-0.59198687093231,-1.3281044532686,-0.827888172412189,-1.09220315178872,1582.77955458875,5123.32099852546,1.46245956420898,2854.06849156237,311.490617615121
355000,0.00630011454753723,0.0854456181421311,0,0.0347185936768588,0,0.00157502863688431,0.00867964841921469,0,-0.971935853379152,-0.617169004871913,-1.32670270188639,-0.844551051688829,-1.09932065506948,1260.52005348446,4206.57158299069,1.35740792751312,2318.34772660192,202.692380367
360000,0.00280269058295964,0.0556837174160883,0,0.0217904825501714,0,0.00070067264573991,0.00544762063754286,0,-0.968609865470852,-0.631819105553907,-1.3054006253878,-0.847679670488786,-1.08954006045292,1250.13086421881,3948.60161699512,1.34001231193542,2219.06063642253,281.201092015099
365000,0.000552486187845304,0.0240575109239586,0,0.00899234726092654,0,0.000138121546961326,0.00224808681523163,0,-0.976795580110497,-0.63850294119598,-1.31508821902501,-0.855326111069782,-1.09826504915121,969.704644006326,3180.70596108417,1.20863819122314,1763.60059425676,175.808693755893
370000,0.00575705238917674,0.0814353578631841,0,0.0329305776935555,0,0.00143926309729419,0.00823264442338888,0,-0.956246401842257,-0.593306912544506,-1.31918589114001,-0.825927080675928,-1.08656572300859,849.046765590167,2717.04302257646,1.14532196521759,1519.78117540245,178.312355777886
375000,0.00280269058295964,0.0556837174160884,0,0.0217904825501714,0,0.00070067264573991,0.00544762063754286,0,-0.974775784753363,-0.625218809861713,-1.32433275964501,-0.849261672841822,-1.1002898966649,659.285059558771,2162.40466224604,1.06344723701477,1199.00457763333,119.565541484213
380000,0.00237953599048186,0.0511164503272582,0,0.0198793170267076,0,0.000594883997620464,0.0049698292566769,0,-0.94824509220702,-0.599354569210319,-1.29713561520372,-0.822970280677776,-1.07351990373626,556.206584125243,1801.12686151829,0.990068435668945,1003.21543887944,109.197729371048
385000,0.00492914356130622,0.0749853428243601,0,0.0300839602750213,0,0.00123228589032656,0.00752099006875533,0,-0.927911275415897,-0.550884799206273,-1.30493775162552,-0.792533792694355,-1.06328875813744,468.434572901207,1504.4842853271,0.951269388198853,840.445057291202,96.424088511213
390000,0.0032133676092545,0.0598269853338564,0,0.0235414069882583,0,0.000803341902313625,0.00588535174706457,0,-0.925449871465296,-0.512358486879178,-1.33854125605141,-0.777122697359539,-1.07377704557105,354.967694433918,1178.47781663147,0.905121982097626,650.662385320372,59.2730035474643
395000,0.00458115183246073,0.0721322527551662,0,0.0288364722808321,0,0.00114528795811518,0.00720911807020802,0,-0.899214659685864,-0.464566718544465,-1.33386260082726,-0.743147253668712,-1.05528206570302,303.541731765328,994.275106336216,0.843410491943359,551.56077387942,55.5226896512357
400000,0.0100603621730382,0.109889392420443,0,0.0459055976410965,0,0.00251509054325956,0.0114763994102741,0,-0.880617035546613,-0.419548949375565,-1.34168512171766,-0.71506304714615,-1.04617102394708,257.81095305375,825.094336531012,0.836350619792938,461.503269882481,54.1186362250193
405000,0.00989445910290238,0.108904686642268,0,0.0454456901536204,0,0.00247361477572559,0.0113614225384051,0,-0.862137203166227,-0.374544155120215,-1.34973025121224,-0.687058996190937,-1.03721541014152,217.974485108477,686.540279503649,0.800709009170532,386.220647479762,49.7283227371914
410000,0.0122282608695652,0.122168889134408,0,0.0517042299127687,0,0.0030570652173913,0.0129260574781922,0,-0.858695652173913,-0.312645814407809,-1.40474548994002,-0.662627584964276,-1.05476371938355,175.718879632692,556.761030764109,0.78994083404541,312.538255687046,38.8995035783385
415000,0.0152249134948097,0.137713682563092,0,0.0592064963927298,0,0.00380622837370242,0.0148016240981825,0,-0.844982698961938,-0.328444490680505,-1.36152090724337,-0.659511261863827,-1.03045413606005,130.219785605624,427.369842181693,0.74591189622879,236.916341917138,23.5232292941093
420000,0.0214231063504208,0.166268572459,0,0.0734322246026504,0,0.0053557765876052,0.0183580561506626,0,-0.789594491201224,-0.172620148732115,-1.40656883367033,-0.568059828100251,-1.0111291543022,112.438236614266,359.336473755369,0.696791529655457,201.091060597813,23.7854126307188
425000,0.0218068535825545,0.16791619907946,0,0.0742697882663925,0,0.00545171339563863,0.0185674470665981,0,-0.728971962616822,-0.0591211497859085,-1.39882277544774,-0.488451143623706,-0.969492781609939,92.9983552494246,295.140232124072,0.647785425186157,165.580680817146,20.4160296817034
430000,0.031496062992126,0.206218983300988,0,0.0942331666644397,0,0.0078740157480315,0.0235582916661099,0,-0.688188976377953,0.0365418014094912,-1.4129197541654,-0.427962614202954,-0.948415338552952,77.7501728334765,242.860901441411,0.62589555978775,137.035862883621,18.4644827833322
435000,0.051150895140665,0.271550288833658,0,0.130288878794954,0,0.0127877237851662,0.0325722196987385,0,-0.621483375959079,0.156815843397714,-1.39978259531587,-0.34202239438578,-0.900944357532378,60.6698900763031,190.056254014405,0.622770130634308,107.128166493726,14.2116136588805
440000,0.0532094594594595,0.277755218753533,0,0.133836263058599,0,0.0133023648648649,0.0334590657646496,0,-0.588682432432433,0.256315951773555,-1.43368081663842,-0.285272031901371,-0.892092832963494,48.670611524602,149.75217386284,0.59975016117096,84.9655889927175,12.3756340564866
445000,0.0686735653809972,0.321690818626528,0,0.159523521526927,0,0.0171683913452493,0.0398808803817317,0,-0.428033866415804,0.539540512969548,-1.39560824580116,-0.0806105630342704,-0.775457169797338,42.2495646355069,123.971517412022,0.598350644111633,71.5931597092444,12.9059695617694
450000,0.0863723608445298,0.367420364449686,0,0.187287213388802,0,0.0215930902111324,0.0468218033472005,0,-0.352207293666027,0.662449902139327,-1.36686448947138,0.0121218600166846,-0.716536447348738,31.5620534268428,94.185797994407,0.583786547183991,54.0481265095194,9.07598034416611
