time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
0,-1.00185185185185,-0.804475046620544,-1.19922865708316,0,0,0,0,0,0
5000,-0.996201329534663,-0.769670195106852,-1.22273246396247,0,0,0,0,0,0
10000,-0.993762993762994,-0.739839406228214,-1.24768658129777,0,0,0,0,0,0
15000,-0.983888292158969,-0.745708987734073,-1.22206759658387,0,0,0,0,0,0
20000,-0.996756756756757,-0.78613443039565,-1.20737908311786,0,0,0,0,0,0
25000,-0.986725663716814,-0.725031913297706,-1.24841941413592,0,0,0,0,0,0
30000,-0.970285714285714,-0.732958326520779,-1.20761310205065,0,0,0,0,0,0
35000,-0.968361581920904,-0.673008958302901,-1.26371420553891,0,0,0,0,0,0
40000,-0.955314009661836,-0.687430960323663,-1.22319705900001,0,0,0,0,0,0
45000,-0.958230958230958,-0.663588655066449,-1.25287326139547,0,0,0,0,0,0
50000,-0.950064020486556,-0.623755025822469,-1.27637301515064,0,0,0,0,0,0
55000,-0.940127388535032,-0.636690470307702,-1.24356430676236,0,0,0,0,0,0
60000,-0.945406125166445,-0.638243516478855,-1.25256873385404,0.00133155792276964,0.037822076181211,0,0.00033288948069241,0.00945551904530275,0
65000,-0.923728813559322,-0.591828971958574,-1.25562865516007,0,0,0,0,0,0
70000,-0.928263988522238,-0.596919636472564,-1.25960834057191,0,0,0,0,0,0
75000,-0.925457102672293,-0.587590501691023,-1.26332370365356,0,0,0,0,0,0
80000,-0.921167883211679,-0.601850570283888,-1.24048519613947,0,0,0,0,0,0
85000,-0.930651872399445,-0.60891053041982,-1.25239321437907,0.0013869625520111,0.038628908688204,0,0.000346740638002774,0.00965722717205099,0
90000,-0.909221902017291,-0.575280941057041,-1.24316286297754,0,0,0,0,0,0
95000,-0.935158501440922,-0.574619117628677,-1.29569788525317,0,0,0,0,0,0
100000,-0.946327683615819,-0.614259346599264,-1.27839602063237,0,0,0,0,0,0
105000,-0.918194640338505,-0.563135782442939,-1.27325349823407,0,0,0,0,0,0
110000,-0.950634696755994,-0.633354111985352,-1.26791528152664,0,0,0,0,0,0
115000,-0.933518005540166,-0.574738938102386,-1.29229707297795,0,0,0,0,0,0
120000,-0.945113788487282,-0.641538874632914,-1.24868870234165,0,0,0,0,0,0
125000,-0.944444444444444,-0.603094392698104,-1.28579449619078,0,0,0,0,0,0
130000,-0.947586206896552,-0.615157765998703,-1.2800146477944,0,0,0,0,0,0
135000,-0.947297297297297,-0.650848777726227,-1.24374581686837,0,0,0,0,0,0
140000,-0.963060686015831,-0.683965859234465,-1.2421555127972,0,0,0,0,0,0
145000,-0.990909090909091,-0.704828988009824,-1.27698919380836,0,0,0,0,0,0
150000,-0.945736434108527,-0.641134111913895,-1.25033875630316,0.00129198966408269,0.0372362473985621,0,0.000322997416020672,0.00930906184964053,0
155000,-0.952624839948784,-0.625933738537741,-1.27931594135983,0.00128040973111396,0.0370632230793396,0,0.000320102432778489,0.0092658057698349,0
160000,-0.942126514131898,-0.612724049094668,-1.27152897916913,0,0,0,0,0,0
165000,-0.954239569313594,-0.61291634477802,-1.29556279384917,0.00134589502018843,0.0380323369325411,0,0.000336473755047106,0.00950808423313528,0
170000,-0.948369565217391,-0.63967901616792,-1.25706011426686,0,0,0,0,0,0
175000,-0.902474526928675,-0.501190521250464,-1.30375853260689,0,0,0,0,0,0
180000,-0.911966987620358,-0.525619595434741,-1.29831437980597,0.00137551581843191,0.0384634628960461,0,0.000343878954607978,0.00961586572401154,0
185000,-0.961038961038961,-0.614297483646155,-1.30778043843177,0.00118063754427391,0.0355410441814764,0,0.000295159386068477,0.0088852610453691,0
190000,-0.870317002881844,-0.439993572956725,-1.30064043280696,0,0,0,0,0,0
195000,-0.889196675900277,-0.472593054845066,-1.30580029695549,0.00138504155124654,0.0386011879294859,0,0.000346260387811634,0.00965029698237147,0
200000,-0.846875,-0.377143697990397,-1.3166063020096,0.0015625,0.0410909707521048,0,0.000390625,0.0102727426880262,0
205000,-0.867625899280576,-0.415570741572269,-1.31968105698888,0.00287769784172662,0.0564832134445989,0,0.000719424460431655,0.0141208033611497,0
210000,-0.877873563218391,-0.424875154731719,-1.33087197170506,0,0,0,0,0,0
215000,-0.91048951048951,-0.528339964565353,-1.29263905641367,0,0,0,0,0,0
220000,-0.877717391304348,-0.395383827302798,-1.3600509553059,0.00407608695652174,0.067833404681178,0,0.00101902173913043,0.0169583511702945,0
