time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
180000,-0.837931034482759,-0.373727969287788,-1.30213409967773,0.00172413793103448,0.0432468778579044,0,0.000431034482758621,0.0108117194644761,0
185000,-0.858803986710964,-0.444825403120861,-1.27278257030107,0,0,0,0,0,0
190000,-0.828264758497317,-0.369355703046059,-1.28717381394857,0.00178890876565295,0.0440844022094343,0,0.000447227191413238,0.0110211005523586,0
195000,-0.834205933682374,-0.36626601370761,-1.30214585365714,0,0,0,0,0,0
200000,-0.801094890510949,-0.349975334442037,-1.25221444657986,0.00182481751824818,0.0445427004040862,0,0.000456204379562044,0.0111356751010216,0
205000,-0.776515151515152,-0.288268495885087,-1.26476180714522,0,0,0,0,0,0
210000,-0.736514522821577,-0.237998337003567,-1.23503070863959,0,0,0,0,0,0
215000,-0.683438155136268,-0.150491767837879,-1.21638454243466,0,0,0,0,0,0
220000,-0.599033816425121,0.00249694582530935,-1.20056457867555,0,0,0,0,0,0
225000,-0.727822580645161,-0.203165793577313,-1.25247936771301,0,0,0,0,0,0
230000,-0.688524590163934,-0.170560367713144,-1.20648881261472,0.00204918032786885,0.0473170533491282,0,0.000512295081967213,0.011829263337282,0
235000,-0.604966139954853,-0.0505330095090155,-1.15939927040069,0,0,0,0,0,0
240000,-0.524296675191816,-0.00414092537658917,-1.04445242500704,0,0,0,0,0,0
245000,-0.567058823529412,-0.0211935256596679,-1.11292412139916,0,0,0,0,0,0
250000,-0.575471698113208,-0.0349507479713437,-1.11599264825507,0,0,0,0,0,0
255000,-0.559734513274336,0.0347470718745541,-1.15421609842323,0,0,0,0,0,0
260000,-0.597430406852248,-0.0145617490121451,-1.18029906469235,0,0,0,0,0,0
265000,-0.504524886877828,0.117247414020032,-1.12629718777569,0,0,0,0,0,0
270000,-0.454106280193237,0.188655653909435,-1.09686821429591,0,0,0,0,0,0
275000,-0.407792207792208,0.247666885802979,-1.06325130138739,0,0,0,0,0,0
280000,-0.472361809045226,0.148833876992096,-1.09355749508255,0,0,0,0,0,0
285000,-0.336088154269972,0.296797993615457,-0.968974302155402,0,0,0,0,0,0
290000,-0.422604422604423,0.249338644917108,-1.09454749012595,0.00245700245700246,0.0520251621666634,0,0.000614250614250614,0.0130062905416659,0
295000,-0.258620689655172,0.391637822296877,-0.908879201607222,0,0,0,0,0,0
300000,-0.22478386167147,0.451970674112458,-0.901538397455397,0.00288184438040346,0.0565646570899053,0,0.000720461095100865,0.0141411642724763,0
305000,-0.167155425219941,0.555324252414994,-0.889635102854877,0.00879765395894428,0.102317186963036,0,0.00219941348973607,0.0255792967407591,0
310000,-0.252808988764045,0.45379405538697,-0.95941203291506,0.00280898876404494,0.0558088827643629,0,0.000702247191011236,0.0139522206910907,0
